Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://www.edhat.com/sites/default/files/news_image/ucsb-santa-catalina-dorm.jpg
"Oia, Greece",A peaceful small village in the South Aegean on the islands of Santorini.,36.466667,25.366667,"https://en.wikipedia.org/wiki/Oia,_Greece",https://www.santorinichromasuites.com/images/chroma-suites/location/oia/oia-village-02.jpg
"National Centre for the Performing Arts, China","The largest opera hall, Music hall, theater and art exhibition halls in China, described as The Giant Egg ",39.903333,116.383611,https://en.wikipedia.org/wiki/National_Centre_for_the_Performing_Arts_(China),https://damaiticket.files.wordpress.com/2016/10/ncpa.jpg?w=1000
Salar de Uyuni,The largest salt flat and one of the most amazing natural attractions of Bolivia. ,-20.133775,-67.489133,https://en.wikipedia.org/wiki/Salar_de_Uyuni,https://thriftynomads.com/wp-content/uploads/2018/02/Salar-de-Uyuni-wet-season.jpg
"The Wave,  Arizona",A colorful sandstone rock formation is well-known among travelers and art creater.,36.996067,-112.006083,https://en.wikipedia.org/wiki/The_Wave_(Arizona),https://ktar.com/wp-content/uploads/2019/05/wave18-blm-1.jpg
Tunnel of Love ,A romantic railway in Ukraine surrounded by green arches and flowers loved by couple.,50.7509,26.0461,https://en.wikipedia.org/wiki/Tunnel_of_Love_(railway),https://i.forfun.com/jxa4b4om.jpeg
,,,,,
,,,,,
,,,,,
,,,,,
